"station_id","name","lat","lon"
"116","36th & Calvert St NW / Glover Park",38.922581,-77.070334
"117","14th & G St NW",38.898409,-77.032278
"118","Potomac Ave & 35th St S",38.844015,-77.050537
"124","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",38.88412,-77.04657
"125","11th & F St NW",38.897857,-77.026975
"126","23rd & E St NW ",38.896104,-77.049882
"127","Lynn St & 19th St North",38.897315,-77.070993
"128","Rosslyn Metro / Wilson Blvd & Ft Myer Dr",38.8946,-77.072305
"129","Clarendon Blvd & Pierce St",38.893438,-77.076389
"130","Wilson Blvd & N Uhle St",38.891696,-77.0846
"131","Rhodes St & 16th St N",38.892164,-77.079375
"132","Fairfax Village",38.86559,-76.952103
"133","21st St & Constitution Ave NW",38.892459,-77.046567
"134","Wilson Blvd & N Edgewood St",38.889,-77.0925
"135","Columbia Rd & Belmont St NW",38.920669,-77.04368
"136","Rhode Island & Connecticut Ave NW",38.9059956999911,-77.0398020744324
"137","Thomas Circle",38.9059,-77.0325
"138","Wilson Blvd & N Franklin Rd",38.8904,-77.0889
"139","Clarendon Blvd & N Fillmore St",38.8881,-77.09308
"140","Clarendon Metro / Wilson Blvd & N Highland St",38.88786,-77.094875
"141","18th St & Pennsylvania Ave NW",38.89968,-77.041539
"142","4th & C St SW",38.8863719405453,-77.0177006721497
"143","4th & E St SW",38.88412,-77.017445
"144","3rd & G St SE",38.881185,-77.001828
"145","7th & R St NW / Shaw Library",38.912719,-77.022155
"146","9th & Upshur St NW",38.9418,-77.0251
"147","1st & Rhode Island Ave NW",38.915417,-77.012289
"148","Columbia Rd & Georgia Ave NW",38.928121111321,-77.0237946510315
"149","California St & Florida Ave NW",38.917761,-77.04062
"150","Benning Rd & East Capitol St NE / Benning Rd Metro",38.889935,-76.93723
"151","3000 Connecticut Ave NW / National Zoo",38.930282,-77.055599
"152","Anacostia Ave & Benning Rd NE / River Terrace ",38.896544,-76.96012
"153","M St & Pennsylvania Ave NW",38.905126,-77.056887
"154","15th St & Massachusetts Ave SE",38.88732,-76.983569
"155","Congress Heights Metro",38.844711,-76.987823
"156","N Quincy St & Glebe Rd",38.876393,-77.107735
"157","Barcroft Community Center",38.8503365778844,-77.1009886264801
"158","N Veitch St & 20th St N",38.896923,-77.086502
"159","10th & K St NW",38.9024,-77.02622
"160","Fairfax Dr & Wilson Blvd",38.885801,-77.097745
"161","Key Blvd & N Quinn St",38.896355,-77.078408
"162","1st & K St SE",38.8788543780633,-77.0057272911072
"163","39th & Calvert St NW / Stoddert",38.922649,-77.077271
"164","1st & Washington Hospital Center NW",38.928743,-77.012457
"165","Virginia Square Metro / Monroe St & 9th St N",38.882788,-77.103148
"166","Central Library / Quincy St & 10th St N",38.88397,-77.10783
"167","Washington Blvd & 10th St N",38.884734,-77.093485
"168","Jefferson Dr & 14th St SW",38.888553,-77.032429
"169","Smithsonian-National Mall / Jefferson Dr & 12th St SW",38.888767,-77.02858
"170","George Mason Dr & Wilson Blvd",38.87887,-77.1207
"171","6th St & Indiana Ave NW",38.894573,-77.01994
